,Ranking,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
0,1,Oklahoma,Auburn,Oregon,Oregon,Oregon,Oregon,Auburn,Auburn
1,2,Oregon,Oregon,Auburn,Auburn,Auburn,Auburn,Oregon,Oregon
2,3,Boise State,Boise State,TCU,TCU,TCU,TCU,TCU,TCU
3,4,Auburn,TCU,Boise State,Boise State,Boise State,Boise State,Stanford,Stanford
4,5,TCU,Michigan State,Utah,LSU,LSU,LSU,Wisconsin,Wisconsin
5,6,LSU,Missouri,Alabama,Stanford,Stanford,Stanford,Ohio State,Ohio State
6,7,Michigan State,Alabama,Nebraska,Wisconsin,Wisconsin,Wisconsin,Arkansas,Oklahoma
7,8,Alabama,Utah,Oklahoma,Nebraska,Nebraska,Ohio State,Michigan State,Arkansas
8,9,Utah,Oklahoma,Wisconsin,Ohio State,Ohio State,Oklahoma State,Oklahoma,Michigan State
9,10,Ohio State,Wisconsin,LSU,Oklahoma State,Oklahoma State,Michigan State,LSU,Boise State
10,11,Missouri,Ohio State,Ohio State,Michigan State,Alabama,Alabama,Boise State,LSU
11,12,Stanford,LSU,Missouri,Alabama,Michigan State,Arkansas,Missouri,Missouri
12,13,Wisconsin,Stanford,Stanford,Iowa,Arkansas,Oklahoma,Nebraska,Virginia Tech
13,14,Oklahoma State,Nebraska,Michigan State,Utah,Oklahoma,Missouri,Oklahoma State,Oklahoma State
14,15,Iowa,Arizona,Arizona,Arkansas,Missouri,Nebraska,Virginia Tech,Nevada
15,16,Nebraska,Florida State,Iowa,Oklahoma,Virginia Tech,Virginia Tech,Alabama,Alabama
16,17,Florida State,Oklahoma State,Oklahoma State,Missouri,South Carolina,Texas A&M;,Nevada,Texas A&M;
17,18,Arizona,Iowa,Arkansas,Arizona,Nevada,South Carolina,Texas A&M;,Nebraska
18,19,Texas,Arkansas,South Carolina,Mississippi State,Texas A&M;,Nevada,South Carolina,Utah
19,20,West Virginia,South Carolina,Mississippi State,Virginia Tech,Iowa,Utah,Utah,South Carolina
20,21,South Carolina,Mississippi State,Baylor,Nevada,Mississippi State,Arizona,Florida State,Mississippi State
21,22,Kansas State,Miami,Virginia Tech,Florida,Arizona,Florida State,Mississippi State,West Virginia
22,23,Arkansas,Virginia Tech,Nevada,South Carolina,Utah,NC State,Arizona,Florida State
23,24,Mississippi State,Nevada,Florida State,Kansas State,Miami,Iowa,West Virginia,Hawai'i
24,25,Virginia Tech,Baylor,NC State,Texas A&M;,Florida State,Mississippi State,Northern Illinois,UCF
