,Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Final Rankings
0,1,USC,USC,USC,USC,USC,LSU,LSU,Ohio State,Ohio State,Ohio State,Ohio State,LSU,LSU,Missouri,Ohio State,LSU
1,2,LSU,LSU,LSU,LSU,LSU,USC,California,South Florida,Boston College,Boston College,LSU,Oregon,Kansas,West Virginia,LSU,Georgia
2,3,West Virginia,West Virginia,Oklahoma,Florida,Oklahoma,California,Ohio State,Boston College,LSU,LSU,Oregon,Oklahoma,Missouri,Ohio State,Oklahoma,USC
3,4,Texas,Florida,West Virginia,Oklahoma,Florida,Ohio State,Boston College,Oklahoma,Oklahoma,Oregon,Oklahoma,Kansas,West Virginia,Georgia,Georgia,Missouri
4,5,Michigan,Oklahoma,Florida,West Virginia,West Virginia,Wisconsin,South Florida,LSU,Oregon,Oklahoma,Kansas,West Virginia,Ohio State,LSU,Virginia Tech,Ohio State
5,6,Florida,Wisconsin,Texas,California,California,South Florida,Oklahoma,South Carolina,West Virginia,Arizona State,West Virginia,Missouri,Georgia,Virginia Tech,USC,West Virginia
6,7,Wisconsin,Texas,Wisconsin,Texas,Texas,Boston College,South Carolina,Oregon,Arizona State,West Virginia,Missouri,Ohio State,Arizona State,Kansas,Missouri,Kansas
7,8,Oklahoma,Louisville,California,Ohio State,Ohio State,Kentucky,West Virginia,Kentucky,Virginia Tech,Kansas,Boston College,Georgia,Virginia Tech,USC,Kansas,Oklahoma
8,9,Virginia Tech,Virginia Tech,Louisville,Wisconsin,Wisconsin,Florida,Oregon,West Virginia,USC,Missouri,Arizona State,Arizona State,Oregon,Oklahoma,Florida,Virginia Tech
9,10,Louisville,California,Ohio State,Penn State,Rutgers,Oklahoma,USC,California,Florida,Georgia,Georgia,Virginia Tech,Oklahoma,Florida,Hawai'i,Texas
10,11,Ohio State,Georgia,UCLA,Rutgers,Oregon,South Carolina,Missouri,Virginia Tech,South Florida,Virginia Tech,Virginia Tech,USC,USC,Hawai'i,West Virginia,Boston College
11,12,California,Ohio State,Penn State,South Carolina,Boston College,Georgia,Virginia Tech,Arizona State,Kansas,Hawai'i,USC,Texas,Florida,Boston College,Arizona State,Tennessee
12,13,Georgia,UCLA,Rutgers,Oregon,Clemson,West Virginia,Florida,USC,Missouri,USC,Michigan,Hawai'i,Texas,Arizona State,Illinois,Florida
13,14,UCLA,Penn State,Nebraska,Boston College,Kentucky,Oregon,Arizona State,Florida,Kentucky,Texas,Hawai'i,Florida,Hawai'i,Tennessee,Boston College,BYU
14,15,Tennessee,Rutgers,Georgia Tech,Clemson,Georgia,Virginia Tech,Cincinnati,Missouri,South Carolina,Michigan,Texas,Clemson,Boston College,Illinois,Clemson,Auburn
15,16,Rutgers,Nebraska,Arkansas,Alabama,South Carolina,Hawai'i,Hawai'i,Kansas,Hawai'i,Connecticut,Connecticut,Virginia,Virginia,Clemson,Tennessee,Arizona State
16,17,Penn State,Auburn,South Carolina,Virginia Tech,Virginia Tech,Missouri,Kentucky,Hawai'i,Texas,Alabama,Florida,Boise State,Boise State,Texas,Texas,Cincinnati
17,18,Auburn,Arkansas,Virginia Tech,Louisville,South Florida,Arizona State,Illinois,Auburn,California,Florida,Auburn,Boston College,Illinois,Oregon,Wisconsin,Michigan
18,19,Florida State,TCU,Oregon,Hawai'i,Hawai'i,Texas,Wisconsin,Texas,Michigan,Auburn,Boise State,Tennessee,Tennessee,Wisconsin,BYU,Hawai'i
19,20,Nebraska,Hawai'i,Clemson,Texas A&M;,Missouri,Cincinnati,Kansas,Tennessee,Georgia,South Florida,Clemson,Illinois,Connecticut,Cincinnati,Cincinnati,Illinois
20,21,Arkansas,Georgia Tech,Boston College,Kentucky,Penn State,Rutgers,Florida State,Georgia,Virginia,Boise State,Alabama,Cincinnati,Clemson,BYU,Virginia,Clemson
21,22,TCU,Boise State,Tennessee,Georgia,Alabama,Clemson,Auburn,Texas Tech,Alabama,Wake Forest,Tennessee,Kentucky,Wisconsin,Virginia,Auburn,Texas Tech
22,23,Hawai'i,Texas A&M;,Georgia,South Florida,Arizona State,Purdue,Texas,Cincinnati,Auburn,South Carolina,Virginia,Michigan,BYU,Auburn,South Florida,Oregon
23,24,Boise State,Tennessee,Hawai'i,Nebraska,Cincinnati,Kansas State,Georgia,Michigan,Penn State,Tennessee,Kentucky,Wisconsin,Cincinnati,Boise State,Boise State,Wisconsin
24,25,Texas A&M;,Clemson,Texas A&M;,Missouri,Nebraska,Nebraska,Tennessee,Kansas State,Rutgers,Clemson,California,Connecticut,Auburn,South Florida,Arkansas,Oregon State
