Ranking,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
1,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson
2,LSU,Alabama,Alabama,Alabama,Alabama,Alabama
3,Ohio State,Ohio State,Ohio State,Oklahoma,Oklahoma,Michigan State
4,Alabama,Notre Dame,Notre Dame,Iowa,Iowa,Oklahoma
5,Notre Dame,Iowa,Iowa,Michigan State,Michigan State,Iowa
6,Baylor,Baylor,Oklahoma State,Notre Dame,Ohio State,Stanford
7,Michigan State,Stanford,Oklahoma,Baylor,Stanford,Ohio State
8,TCU,Oklahoma State,Florida,Ohio State,Notre Dame,Notre Dame
9,Iowa,LSU,Michigan State,Stanford,Florida State,Florida State
10,Florida,Utah,Baylor,Michigan,North Carolina,North Carolina
11,Stanford,Florida,Stanford,Oklahoma State,TCU,TCU
12,Utah,Oklahoma,Michigan,Florida,Baylor,Ole Miss
13,Memphis,Michigan State,Utah,Florida State,Ole Miss,Northwestern
14,Oklahoma State,Michigan,Florida State,North Carolina,Northwestern,Michigan
15,Oklahoma,TCU,LSU,Navy,Michigan,Oregon
16,Florida State,Florida State,Navy,Northwestern,Oregon,Oklahoma State
17,Michigan,Mississippi State,North Carolina,Oregon,Oklahoma State,Baylor
18,Ole Miss,Northwestern,TCU,Ole Miss,Florida,Houston
19,Texas A&M;,UCLA,Houston,TCU,Houston,Florida
20,Mississippi State,Navy,Northwestern,Washington State,USC,LSU
21,Northwestern,Memphis,Memphis,Mississippi State,LSU,Navy
22,Temple,Temple,Ole Miss,UCLA,Temple,Utah
23,UCLA,North Carolina,Oregon,Utah,Navy,Tennessee
24,Toledo,Houston,USC,Toledo,Utah,Temple
25,Houston,Wisconsin,Wisconsin,Temple,Tennessee,USC
