,Ranking,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
0,1,Georgia,Georgia,Alabama,Alabama,Clemson,Clemson
1,2,Alabama,Alabama,Clemson,Miami,Auburn,Oklahoma
2,3,Notre Dame,Notre Dame,Miami,Clemson,Oklahoma,Georgia
3,4,Clemson,Clemson,Oklahoma,Oklahoma,Wisconsin,Alabama
4,5,Oklahoma,Oklahoma,Wisconsin,Wisconsin,Alabama,Ohio State
5,6,Ohio State,TCU,Auburn,Auburn,Georgia,Wisconsin
6,7,Penn State,Miami,Georgia,Georgia,Miami,Auburn
7,8,TCU,Wisconsin,Notre Dame,Notre Dame,Ohio State,USC
8,9,Wisconsin,Washington,Ohio State,Ohio State,Penn State,Penn State
9,10,Miami,Auburn,Penn State,Penn State,USC,Miami
10,11,Oklahoma State,USC,USC,USC,TCU,Washington
11,12,Washington,Michigan State,TCU,TCU,Stanford,UCF
12,13,Virginia Tech,Ohio State,Oklahoma State,Washington State,Washington,Stanford
13,14,Auburn,Penn State,Washington State,Mississippi State,UCF,Notre Dame
14,15,Iowa State,Oklahoma State,UCF,UCF,Notre Dame,TCU
15,16,Mississippi State,Mississippi State,Mississippi State,Michigan State,Michigan State,Michigan State
16,17,USC,Virginia Tech,Michigan State,Washington,LSU,LSU
17,18,UCF,UCF,Washington,LSU,Washington State,Washington State
18,19,LSU,Washington State,NC State,Oklahoma State,Oklahoma State,Oklahoma State
19,20,NC State,Iowa,LSU,Memphis,Memphis,Memphis
20,21,Stanford,Iowa State,Memphis,Stanford,Northwestern,Northwestern
21,22,Arizona,Memphis,Stanford,Northwestern,Virginia Tech,Virginia Tech
22,23,Memphis,NC State,Northwestern,Boise State,Mississippi State,Mississippi State
23,24,Michigan State,LSU,Michigan,South Carolina,NC State,NC State
24,25,Washington State,Northwestern,Boise State,Virginia Tech,Fresno State,Boise State
